Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
114;3595104000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,219571458;8,913E-08;68,02521;1,31E-09;20,698369
115;3626640000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,219173775;8,913E-08;68,02521;1,31E-09;20,751300
116;3658176000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,218780246;8,913E-08;68,02521;1,31E-09;20,803907
117;3689712000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,218390792;8,913E-08;68,02521;1,31E-09;20,856194
118;3721248000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,218005338;8,913E-08;68,02521;1,31E-09;20,908166
119;3752784000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,217623808;8,913E-08;68,02521;1,31E-09;20,959827
120;3784320000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,21724613;8,913E-08;68,02521;1,31E-09;21,011182
121;3815856000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,216872234;8,913E-08;68,02521;1,31E-09;21,062235
122;3847392000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,21650205;8,913E-08;68,02521;1,31E-09;21,112990
123;3878928000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,216135513;8,913E-08;68,02521;1,31E-09;21,163451
124;3910464000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,215772557;8,913E-08;68,02521;1,31E-09;21,213624
